,Unnamed: 0,playlist_name,track_name,artist_name,album_name,popularity,release_date,duration
251,251,Momma,(Sittin' On) the Dock of the Bay,Otis Redding,The Dock of the Bay (Mono),77,1968,163755
252,252,Momma,Otra Como Tu,Eros Ramazzotti,Todo Historias,69,1993,281226
253,253,Momma,Cosas De La Vida,Eros Ramazzotti,Todo Historias,65,1993,288986
254,254,Momma,La Media Vuelta,Julio Iglesias,México & Amigos,0,2017,198320
255,255,Momma,La Media Vuelta,Eros Ramazzotti,México & Amigos,0,2017,198320
256,256,Momma,I Got You Babe,UB40,Baggariddim,65,1985,189093
257,257,Momma,I Got You Babe,Chrissie Hynde,Baggariddim,65,1985,189093
258,258,Momma,Os Brutos Também Amam - Ao Vivo,Agnaldo Timoteo,50 Anos na Estrada Asfaltada (Ao Vivo),12,2015,223066
259,259,Momma,Espere um Pouco... Um Pouquinho Mais,Nilton Cesar,Grandes Sucessos - Nilton Cesar,23,2000,277600
260,260,Momma,Adeus Solidão (Pickin' Up Pebbles),Carmen Silva,Grandes Sucessos - Carmen Silva,34,2000,205493
261,261,Momma,Goodbye My Love Goodbye,Demis Roussos,Demis Roussos - Greatest Hits (1971 - 1980),49,1983,237533
262,262,Momma,Forever And Ever,Demis Roussos,Forever And Ever,49,1973,221266
263,263,Momma,My Friend The Wind,Demis Roussos,Forever And Ever,35,1973,235626
264,264,Momma,These Arms of Mine,Otis Redding,Pain in My Heart,63,1964,154533
265,265,Momma,These Arms of Mine,Otis Redding,The Very Best of Otis Redding,47,1992,154293
266,266,Momma,Contigo Aprendí,Armando Manzanero,"Mis Canciones, Mi Voz, Mi Piano",49,1998,218560
267,267,Momma,Mona Lisa,Nat King Cole,Unforgettable,52,1954,194986
268,268,Momma,Padam padam,Édith Piaf,Eternelle,54,1987,197626
269,269,Momma,Unforgettable,Nat King Cole,Unforgettable,67,1954,191973
270,270,Momma,Fernando,ABBA,Arrival,67,1976,252960
271,271,Lina's Country Classics,Check Yes Or No,George Strait,Strait Out Of The Box,70,1995,200666
272,272,Lina's Country Classics,Troubadour,George Strait,Troubadour,66,2008,176226
273,273,Lina's Country Classics,Carrying Your Love With Me,George Strait,Carrying Your Love With Me,69,1997,232426
274,274,Lina's Country Classics,Here For A Good Time,George Strait,Here For A Good Time,64,2011,180266
275,275,Lina's Country Classics,Heartland - Pure Country/Soundtrack Version,George Strait,Pure Country,55,1992,138160
276,276,Lina's Country Classics,I Cross My Heart - Pure Country Soundtrack Version,George Strait,Pure Country,64,1992,212000
277,277,Lina's Country Classics,Neon Moon,Brooks & Dunn,#1s ... and then some,72,2009,263760
278,278,Lina's Country Classics,Don't Take The Girl,Tim McGraw,Number One Hits,46,2010,249360
279,279,Lina's Country Classics,People Are Crazy,Billy Currington,Best Of,46,2011,231506
280,280,Lina's Country Classics,There Goes My Life,Kenny Chesney,Greatest Hits II,44,2009,301053
281,281,Lina's Country Classics,Dirt Road Anthem,Jason Aldean,My Kinda Party,0,2010,229413
282,282,Lina's Country Classics,Why Don't We Just Dance,Josh Turner,Best Of,30,2011,192346
283,283,Lina's Country Classics,Must Be Doin' Somethin' Right,Billy Currington,Best Of,47,2011,269666
284,284,Lina's Country Classics,Tequila Makes Her Clothes Fall Off,Joe Nichols,Greatest Hits,50,2011,187066
285,285,Lina's Country Classics,Don't Blink,Kenny Chesney,Just Who I Am: Poets & Pirates,58,2007,285280
